scrape_time_utc,event_id,home_team,away_team,bookmaker,player,side,line,american_odds,implied_probability
2026-05-25T22:29:04.260334+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Mitchell Robinson,Over,3.5,-115,0.5348837209302325
2026-05-25T22:29:04.260339+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Mitchell Robinson,Under,3.5,-111,0.5260663507109005
2026-05-25T22:29:04.260344+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Josh Hart,Over,12.5,-118,0.5412844036697247
2026-05-25T22:29:04.260348+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,Josh Hart,Under,12.5,-108,0.5192307692307693
2026-05-25T22:29:04.260352+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,OG Anunoby,Over,15.5,-104,0.5098039215686274
2026-05-25T22:29:04.260357+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,FanDuel,OG Anunoby,Under,15.5,-122,0.5495495495495496
2026-05-25T22:29:04.260363+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Mitchell Robinson,Over,3.5,-118,0.5412844036697247
2026-05-25T22:29:04.260367+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Mitchell Robinson,Under,3.5,-113,0.5305164319248826
2026-05-25T22:29:04.260372+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,James Harden,Over,18.5,-118,0.5412844036697247
2026-05-25T22:29:04.260377+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,James Harden,Under,18.5,-113,0.5305164319248826
2026-05-25T22:29:04.260381+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,OG Anunoby,Over,15.5,-113,0.5305164319248826
2026-05-25T22:29:04.260385+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,OG Anunoby,Under,15.5,-118,0.5412844036697247
2026-05-25T22:29:04.260390+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Dean Wade,Over,2.5,-140,0.5833333333333334
2026-05-25T22:29:04.260397+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Dean Wade,Under,2.5,110,0.47619047619047616
2026-05-25T22:29:04.260401+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Josh Hart,Over,12.5,-124,0.5535714285714286
2026-05-25T22:29:04.260405+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Josh Hart,Under,12.5,-107,0.5169082125603864
2026-05-25T22:29:04.260409+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jalen Brunson,Over,26.5,-122,0.5495495495495496
2026-05-25T22:29:04.260413+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jalen Brunson,Under,26.5,-109,0.5215311004784688
2026-05-25T22:29:04.260419+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Evan Mobley,Over,16.5,-125,0.5555555555555556
2026-05-25T22:29:04.260424+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Evan Mobley,Under,16.5,-108,0.5192307692307693
2026-05-25T22:29:04.260428+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Miles McBride,Over,5.5,100,0.5
2026-05-25T22:29:04.260433+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Miles McBride,Under,5.5,-134,0.5726495726495726
2026-05-25T22:29:04.260438+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Donovan Mitchell,Over,26.5,-130,0.5652173913043478
2026-05-25T22:29:04.260443+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Donovan Mitchell,Under,26.5,-102,0.504950495049505
2026-05-25T22:29:04.260447+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jose Alvarado,Over,1.5,-137,0.5780590717299579
2026-05-25T22:29:04.260451+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jose Alvarado,Under,1.5,103,0.49261083743842365
2026-05-25T22:29:04.260456+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jaylon Tyson,Over,3.5,-135,0.574468085106383
2026-05-25T22:29:04.260460+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jaylon Tyson,Under,3.5,102,0.49504950495049505
2026-05-25T22:29:04.260465+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Max Strus,Over,9.5,-138,0.5798319327731093
2026-05-25T22:29:04.260471+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Max Strus,Under,9.5,102,0.49504950495049505
2026-05-25T22:29:04.260475+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Landry Shamet,Over,5.5,-135,0.574468085106383
2026-05-25T22:29:04.260479+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Landry Shamet,Under,5.5,100,0.5
2026-05-25T22:29:04.260483+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jarrett Allen,Over,12.5,-128,0.5614035087719298
2026-05-25T22:29:04.260487+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Jarrett Allen,Under,12.5,-102,0.504950495049505
2026-05-25T22:29:04.260492+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Sam Merrill,Over,8.5,-117,0.5391705069124424
2026-05-25T22:29:04.260496+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Sam Merrill,Under,8.5,-115,0.5348837209302325
2026-05-25T22:29:04.260501+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Karl-Anthony Towns,Over,17.5,-128,0.5614035087719298
2026-05-25T22:29:04.260505+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Karl-Anthony Towns,Under,17.5,-105,0.5121951219512195
2026-05-25T22:29:04.260510+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Mikal Bridges,Over,14.5,-120,0.5454545454545454
2026-05-25T22:29:04.260514+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Mikal Bridges,Under,14.5,-111,0.5260663507109005
2026-05-25T22:29:04.260518+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Dennis Schroder,Over,4.5,107,0.4830917874396135
2026-05-25T22:29:04.260523+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,Caesars,Dennis Schroder,Under,4.5,-150,0.6
2026-05-25T22:29:04.260529+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Evan Mobley,Over,16.5,-120,0.5454545454545454
2026-05-25T22:29:04.260533+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Evan Mobley,Under,16.5,-111,0.5260663507109005
2026-05-25T22:29:04.260538+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,James Harden,Over,18.5,-120,0.5454545454545454
2026-05-25T22:29:04.260543+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,James Harden,Under,18.5,-110,0.5238095238095238
2026-05-25T22:29:04.260547+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Max Strus,Over,9.5,-120,0.5454545454545454
2026-05-25T22:29:04.260551+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Max Strus,Under,9.5,-110,0.5238095238095238
2026-05-25T22:29:04.260555+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jalen Brunson,Over,27.5,-105,0.5121951219512195
2026-05-25T22:29:04.260573+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jalen Brunson,Under,27.5,-125,0.5555555555555556
2026-05-25T22:29:04.260578+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jarrett Allen,Over,12.5,-130,0.5652173913043478
2026-05-25T22:29:04.260582+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jarrett Allen,Under,12.5,-105,0.5121951219512195
2026-05-25T22:29:04.260587+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Donovan Mitchell,Over,26.5,-125,0.5555555555555556
2026-05-25T22:29:04.260592+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Donovan Mitchell,Under,26.5,-105,0.5121951219512195
2026-05-25T22:29:04.260596+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Josh Hart,Over,12.5,-135,0.574468085106383
2026-05-25T22:29:04.260600+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Josh Hart,Under,12.5,100,0.5
2026-05-25T22:29:04.260605+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Dean Wade,Over,3.5,110,0.47619047619047616
2026-05-25T22:29:04.260609+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Dean Wade,Under,3.5,-150,0.6
2026-05-25T22:29:04.260613+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Mikal Bridges,Over,14.5,-130,0.5652173913043478
2026-05-25T22:29:04.260617+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Mikal Bridges,Under,14.5,100,0.5
2026-05-25T22:29:04.260630+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Karl-Anthony Towns,Over,17.5,-130,0.5652173913043478
2026-05-25T22:29:04.260635+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Karl-Anthony Towns,Under,17.5,-105,0.5121951219512195
2026-05-25T22:29:04.260640+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,OG Anunoby,Over,15.5,-110,0.5238095238095238
2026-05-25T22:29:04.260644+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,OG Anunoby,Under,15.5,-120,0.5454545454545454
2026-05-25T22:29:04.260649+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jaylon Tyson,Over,3.5,-125,0.5555555555555556
2026-05-25T22:29:04.260655+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Jaylon Tyson,Under,3.5,-105,0.5121951219512195
2026-05-25T22:29:04.260659+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Sam Merrill,Over,8.5,-105,0.5121951219512195
2026-05-25T22:29:04.260664+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Sam Merrill,Under,8.5,-125,0.5555555555555556
2026-05-25T22:29:04.260669+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Miles McBride,Over,5.5,-105,0.5121951219512195
2026-05-25T22:29:04.260673+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Miles McBride,Under,5.5,-125,0.5555555555555556
2026-05-25T22:29:04.260678+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Mitchell Robinson,Over,3.5,-125,0.5555555555555556
2026-05-25T22:29:04.260683+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Mitchell Robinson,Under,3.5,-105,0.5121951219512195
2026-05-25T22:29:04.260689+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Landry Shamet,Over,5.5,-130,0.5652173913043478
2026-05-25T22:29:04.260693+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetMGM,Landry Shamet,Under,5.5,-105,0.5121951219512195
2026-05-25T22:29:04.260698+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Evan Mobley,Over,16.5,-125,0.5555555555555556
2026-05-25T22:29:04.260703+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Evan Mobley,Under,16.5,-109,0.5215311004784688
2026-05-25T22:29:04.260707+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Donovan Mitchell,Over,26.5,-132,0.5689655172413793
2026-05-25T22:29:04.260712+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Donovan Mitchell,Under,26.5,-104,0.5098039215686274
2026-05-25T22:29:04.260716+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Sam Merrill,Over,8.5,-115,0.5348837209302325
2026-05-25T22:29:04.260721+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,BetRivers,Sam Merrill,Under,8.5,-118,0.5412844036697247
