threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets,diagnostic_type,scoring_role,line_bucket,market_prob_bucket,abs_edge_bucket,minutes_bucket,contact_bucket,matchup_pts_bucket,matchup_contact_bucket
0.075,,143.0,0.5174825174825175,-0.03362128100296674,-4.807843183424244,0.9374940421307342,-0.035862927647574566,-14.435863088911988,0.10338294914403452,0.4356164719571938,0.49893780788440345,16.024475524475523,True,matchup_pts,,,,,,,"(-2.5, -0.775]",
0.025,,462.0,0.5173160173160173,-0.03383191844798275,-15.63034632296803,0.9355209408224413,-0.036163721165065756,-26.50659191994439,0.06373941467031448,0.46699105043211053,0.4970488617454163,13.928571428571429,True,matchup_contact,,,,,,,,"(-0.803, -0.0333]"
0.1,Under,247.0,0.5141700404858299,-0.034329318173984935,-8.479341588974279,0.9413614369626325,-0.03646773367384885,-21.207799152027274,0.1289552284043975,0.3689087841168999,0.4978640125212974,20.455465587044536,True,side,,,,,,,,
0.1,,153.0,0.5228758169934641,-0.03473721487041668,-5.314793875173752,0.9254446049900986,-0.037535704117901615,-11.757271750142966,0.12733461206933838,0.37742596428003977,0.4869055346290507,20.23856209150327,True,market_prob,,,market_slight_under,,,,,
0.075,,177.0,0.5141242937853108,-0.036962349458976446,-6.54233585423883,0.9396904254911105,-0.03933460260559621,-17.77244465945948,0.11929641262685979,0.3986481085717095,0.49910686207215654,22.850282485875706,True,contact,,,,,,"(0.134, 0.293]",,
0.075,,252.0,0.503968253968254,-0.03888447717067986,-9.798888247011325,0.9563195134611556,-0.04066054976745938,-19.352274847674447,0.10774965781649061,0.4468558535442257,0.5138822194514628,17.297619047619047,True,market_prob,,,market_slight_over,,,,,
0.05,,265.0,0.5132075471698113,-0.04037772705794542,-10.700097670355536,0.9372617887361184,-0.04308052194509508,-19.469947309558577,0.07959312818424541,0.44997163836668286,0.49843254685147453,14.575471698113208,True,contact,,,,,,"(0.0619, 0.0936]",,
0.1,,65.0,0.5076923076923077,-0.040583569795566675,-2.6379320367118337,0.9528736058223245,-0.04259071669903511,-9.97814194518661,0.12841121792042817,0.4047763943696184,0.5021706716466805,18.96153846153846,True,matchup_pts,,,,,,,"(1.232, 10.45]",
0.05,,259.0,0.5135135135135135,-0.04080098574007396,-10.567455306679156,0.9364171713536874,-0.043571377147102006,-17.82538551975371,0.08530011371953553,0.4478761266792511,0.4964871070714484,14.716216216216216,True,matchup_contact,,,,,,,,"(-0.803, -0.0333]"
0.075,,142.0,0.5140845070422535,-0.04087152347578968,-5.803756333562134,0.9368091882898588,-0.04362844001391625,-10.658090177433158,0.09901371821912947,0.4578397613446183,0.4982064234447361,11.345070422535212,True,role,rotation,,,,,,,
0.075,,178.0,0.5112359550561798,-0.04279081195539834,-7.616764528060905,0.9392674320904073,-0.04555764470632641,-18.823440375511684,0.10774386883318188,0.40808492713995165,0.4976554731185228,18.410112359550563,True,line,,high_line,,,,,,
0.075,,149.0,0.5100671140939598,-0.043445667831356415,-6.473404506872106,0.9415820644596702,-0.04614113784791329,-16.883100382069788,0.11621842043328914,0.4170423268681707,0.5006336565675596,21.144295302013422,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.803]"
0.025,,435.0,0.5103448275862069,-0.04362619683927069,-18.97739562508275,0.9390649028932947,-0.04645706245101559,-37.98733079355888,0.06625672325994532,0.4651755242963941,0.4989115398376557,14.26551724137931,True,matchup_pts,,,,,,,"(-2.5, -0.775]",
0.025,,525.0,0.5104761904761905,-0.045777028688035744,-24.032940061218767,0.9366758084305513,-0.04887179563731609,-39.77252378712611,0.05571170282871599,0.4866180986010261,0.5000079247585596,11.138095238095238,True,contact,,,,,,"(0.0038900000000000002, 0.0619]",,
0.05,,88.0,0.5113636363636364,-0.04781344378342518,-4.207583052941416,0.9378929471556555,-0.05097963891127323,-13.54516715553579,0.07098405711334807,0.5006246449795083,0.5011844422057524,8.045454545454545,True,role,low_usage,,,,,,,
0.025,,501.0,0.5069860279441117,-0.048318237773675304,-24.207437124611328,0.9407871236124401,-0.051359374040051316,-29.49346244253011,0.05954248837390969,0.47081335431600313,0.49900355953981407,10.949101796407186,True,minutes,,,,,rotation_minutes,,,
0.05,,280.0,0.5071428571428571,-0.04915695505185495,-13.763947414519388,0.9401379265423004,-0.05228696094906793,-23.3437366096243,0.08260659304695077,0.45173339421948394,0.49860831682823153,15.310714285714285,True,matchup_pts,,,,,,,"(-2.5, -0.775]",
